fine_label,closest_scentree_node,proposed_layer1_parents,confidence,expert_parents,expert_comment
natural,—,,Ambiguous,,
odorless,—,Drop,Ambiguous,,
beefy,Feacal / Butyric,Animalic | Butyric Buttery,Medium,,
cabbage,Agrestic / Sulfuric,Green | Sulfuric,Medium,,
celery,Agrestic / Green,Green | Herbal,Medium,,
cooling,Icy / Cool Spices / Minty,Herbal | Spicy,Medium,,
cortex,Cinnamic / Warm Spices,Spicy | Balsamic Ambery,Medium,,
creamy,Lactonic / Buttery,Fruity | Woody,Medium,,
cucumber,Aquatic / Crisp Green,Green | Marine,Medium,,
dairy,Lactonic / Butyric,Butyric Buttery | Animalic,Medium,,
fermented,Boozy / Butyric,Animalic | Balsamic Ambery,Medium,,
fishy,Feacal / Animalic,Animalic | Marine,Medium,,
fruit skin,Green Fruits / Zesty,Fruity | Citrus,Medium,,
gassy,Etheric Solvent / Sulfuric,Solvents | Sulfuric,Medium,,
hawthorn,White Flowers / Fresh Flowers,Floral | Herbal,Medium,,
ketonic,Etheric Solvent,Solvents,Medium,,
malty,Boozy / Roasted,Balsamic Ambery | Burnt Leather,Medium,,
meaty,Feacal / Butyric,Animalic | Burnt Leather,Medium,,
phenolic,Eugenol / Etheric Solvent,Spicy | Burnt Leather,Medium,,
popcorn,Roasted / Gourmand,Balsamic Ambery | Burnt Leather,Medium,,
potato,Agrestic / Earthy,Undergrowth | Green,Medium,,
pungent,Sulfuric / Etheric Solvent,Sulfuric | Solvents,Medium,,
radish,Sulfuric / Agrestic,Sulfuric | Green,Medium,,
ripe,Juicy Fruits / Yellow Fruits,Fruity,Medium,,
savory,Eugenol / Spicy,Spicy | Herbal,Medium,,
soapy,Aldehydes / Light Flowers,Aldehydes | Floral,Medium,,
sweaty,Feacal / Butyric,Animalic | Butyric Buttery,Medium,,
sweet,Gourmand / Vanillic,Balsamic Ambery,Medium,,
tomato,Crisp Green / Agrestic,Green | Herbal,Medium,,
vegetable,Agrestic / Crisp Green,Green | Undergrowth,Medium,,
aromatic,Herbal / Terpenic,Herbal | Spicy,Weak,,
bitter,Eugenol / Citric,Citrus | Herbal,Weak,,
clean,Ozonic / Aquatic,Marine | Aldehydes,Weak,,
cooked,Roasted / Gourmand,Burnt Leather | Balsamic Ambery,Weak,,
dry,Dry Woods / Agrestic,Woody | Undergrowth,Weak,,
oily,Fatty / Waxy,Green | Woody,Weak,,
sharp,Etheric Solvent / Sulfuric,Solvents | Sulfuric,Weak,,
sour,Citric / Zesty,Citrus | Sulfuric,Weak,,
warm,Warm Spices / Warm Woods,Spicy | Woody | Balsamic Ambery,Weak,,
